DNI,APE,TEMP_AMB,VEL_VIENTO,SMR,POTENCIA
655.51471,1.875979674,29.353,1.0101,0.929183881,84.26216523
670.22059,1.827821059,33.358,6.5264,0.931282255,93.4296388
689.70588,1.830410725,27.556,7.4714,0.933246924,96.78600105
652.81863,1.833166249,28.707,9.9137,0.933736518,87.22694778
677.57353,1.831078875,32.361,4.947,0.934280296,83.68577422
665.56373,1.798540803,30.328,1.0555,0.934747731,83.22313326
627.32843,1.825017661,33.144,12.419,0.935577857,78.95014044
668.87255,1.801063436,28.416,3.0702,0.935907731,84.23680235
670.22059,1.849959576,16.463,0.0493,0.937498548,80.71070134
601.10294,1.821278264,34.338,8.3911,0.938999562,76.89801711
630.63726,1.849563893,36.124,2.0634,0.939148604,80.30427325
650.12255,1.83115388,37.872,5.9122,0.939219407,84.97699227
688.35784,1.834129962,31.303,5.9724,0.939717887,96.23422591
662.2549,1.875557019,29.014,1.0046,0.941227197,84.61503087
697.05883,1.828631076,36.941,11.8703,0.941247409,91.32536937
677.57353,1.804385007,29.622,1.7037,0.942440642,89.08531049
664.21569,1.828979825,32.739,9.0875,0.942699064,88.23437979
687.7451,1.833503049,12.727,3.7184,0.943200581,87.14911416
625.2451,1.85661093,34.174,4.088,0.943397709,80.39287779
688.35784,1.802287831,30.126,4.3803,0.943707406,84.45732179
691.05392,1.82884346,31.829,11.3677,0.944001937,92.01549093
685.04902,1.834569432,32.772,6.6118,0.944120212,85.04514901
635.41667,1.854077327,35.67,3.3128,0.944329504,81.44127447
661.51961,1.833509569,12.842,2.8009,0.944396497,81.70204685
663.60294,1.837579932,29.008,11.0847,0.945042315,88.50484422
614.58333,1.812052918,27.885,2.5704,0.946568701,84.44665029
607.84314,1.8228156,35.933,12.94,0.947405918,79.68469611
631.37255,1.857698415,35.073,1.4864,0.947687702,81.19911919
690.44118,1.832145134,33.555,8.557,0.947887926,96.53768253
612.5,1.855812713,16.287,1.1634,0.948615548,73.05130788
682.35294,1.854107792,17.087,4.388,0.949478411,94.14544914
